product_name,category,brand_name,price
bank temple,home_appliances,Vision Systems Solutions,79.99
narcissus quail,auto,General Digital,109.0
detective atomic,furniture,Venture Pacific Future,129.8
route stew,gifts_party,Signal Source Systems,249.9
attraction pantyhose,baby,Star Future Systems,35.9
carp ice,garden_outdoor,Star Contract Medicine,120.0
resolution pin,sports,Bell Systems Medicine,89.5
format appendix,baby,West Resource Interactive,32.4
policeman backbone,baby,Power Innovation North,159.99
ounce mist,beauty,Future Systems Architecture,86.0
